"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Gregs Service Center","51 Park St Chelsea MA 02150",3.59,"Gregs Service Center",4.69,-71.0387085,42.3892721,"51 park st, chelsea, ma 02150, usa"
"Speedway #2430","874 Dorchester Ave Dorchester MA 02125",3.62,"Speedway #2430",4.45,-71.0565553,42.321067,"874 dorchester ave, boston, ma 02125, usa"
"Columbia Road Gulf","888 Dorchester Ave Dorchester MA 02125",3.79,"Columbia Road Gulf",4.99,-71.0564857,42.3205908,"888 dorchester ave, dorchester, ma 02125, usa"
"Roxbury Energy","67 Blue Hill Ave Roxbury MA 02119",4,NA,NA,-71.077152,42.3227101,"67 blue hill avenue, boston, ma 02119, usa"
"Gulf","212 Broadway Somerville MA 02145",3.79,NA,NA,-71.0881947,42.3892207,"212 broadway, somerville, ma 02145, usa"
"Speedway #2513","709 Mcgrath Hwy Somerville MA 02145",3.69,"Speedway #2513",4.59,-71.0865931,42.3905241,"709 mcgrath hwy, somerville, ma 02145, usa"
"Shell","1600 Tremont St Roxbury Crossing MA 02120",3.99,"Shell",5.09,-71.1034912,42.3335701,"1600 tremont st, boston, ma 02120, usa"
"Citgo","914 Huntington Ave Boston MA 02115",3.99,"Citgo",4.99,-71.1122867,42.3317726,"914 huntington ave, boston, ma 02115, usa"
"Mobil","850 Commonwealth Ave Boston MA 02215",3.99,"Mobil",5.19,-71.1134952,42.350481,"850 commonwealth ave, brookline, ma 02446, usa"
"Harvard Street Mobil","198 Harvard St Brookline MA 02446",3.69,"Harvard Street Mobil",5.19,-71.1214099,42.339519,"198 harvard st, brookline, ma 02446, usa"
"Stop & Shop #0001","155 Harvard St Brookline MA 02446",3.59,"Stop & Shop #0001",4.29,-71.1204431,42.3382051,"155 harvard st, brookline, ma 02446, usa"
"Shell","207 Magazine St Cambridge MA 02139",4.19,"Shell",5.29,-71.1141219,42.3565838,"207 magazine st, cambridge, ma 02139, usa"
"Jp Auto Service","429 Centre St Jamaica Plain MA 02130",3.49,NA,NA,-71.1108085,42.3208728,"429 centre st, jamaica plain, ma 02130, usa"
"Egleston Square Mobil","3055 Washington St Roxbury MA 02119",5.11,"Egleston Square Mobil",5.51,-71.0980365,42.3164264,"3055 washington st, boston, ma 02119, usa"
"Audys Mobil","345 Boylston St Brookline MA 02445",3.89,"Audys Mobil",5.89,-71.1258487,42.3306716,"345 boylston st, brookline, ma 02445, usa"
"A Plus Mini Market","454 Harvard St Brookline MA 02446",3.95,"A Plus Mini Market",5.19,-71.1285818,42.3464401,"454 harvard st, brookline, ma 02446, usa"
"Memorial Drive Mobil","816 Memorial Dr Cambridge MA 02139",3.73,"Memorial Drive Mobil",4.73,-71.115677,42.3613221,"816 memorial dr, cambridge, ma 02139, usa"
